[2025-10-05 08:59:16.998384] Error scanning token ETHFI: 'NoneType' object has no attribute 'get'
[2025-10-08 16:17:31.631673] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534071 to 23534165
[2025-10-08 16:33:01.157590] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534166 to 23534241
[2025-10-08 16:37:44.254901] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534242 to 23534264
[2025-10-08 16:42:43.925582] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534265 to 23534289
[2025-10-08 16:48:44.651470] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534290 to 23534319
[2025-10-08 17:04:38.900481] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534320 to 23534398
[2025-10-08 17:23:15.572776] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534399 to 23534488
[2025-10-08 17:44:17.815698] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534489 to 23534593
[2025-10-08 17:50:28.233762] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534594 to 23534622
[2025-10-08 18:52:55.837985] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534826 to 23534935
[2025-10-08 19:18:13.960644] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23534936 to 23535061
[2025-10-08 19:30:57.431268] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23535062 to 23535122
[2025-10-08 19:35:05.112657] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23535123 to 23535143
[2025-10-08 19:51:35.401120] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23535144 to 23535225
[2025-10-08 23:49:52.696560] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23535226 to 23536407
[2025-10-09 00:06:18.117244] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536408 to 23536490
[2025-10-09 00:10:55.713924] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536491 to 23536513
[2025-10-09 00:25:08.454875] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536514 to 23536584
[2025-10-09 00:39:30.273227] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536585 to 23536656
[2025-10-09 00:53:03.043143] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536657 to 23536724
[2025-10-09 01:29:57.956369] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23536807 to 23536908
[2025-10-10 19:28:50.456740] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23549286 to 23549408
[2025-10-10 19:38:33.649864] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23549409 to 23549462
[2025-10-10 19:41:55.610841] Error scanning token ETHFI: HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out. (read timeout=10)
[2025-10-11 07:01:12.949730] Token: ETHFI | Whale txs found: 3 | Blocks scanned: 23549463 to 23552855
[2025-10-11 07:44:42.203083] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23552856 to 23553068
[2025-10-11 08:45:16.497160] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553069 to 23553371
[2025-10-11 09:02:18.541064] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553372 to 23553456
[2025-10-11 09:28:37.585441] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553457 to 23553588
[2025-10-11 09:48:38.964145] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553589 to 23553688
[2025-10-11 09:52:31.556556] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553689 to 23553707
[2025-10-11 10:26:30.592129] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553708 to 23553877
[2025-10-11 10:45:50.237952] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553878 to 23553972
[2025-10-11 11:20:18.342161] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23553973 to 23554144
[2025-10-11 12:05:31.757061] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23554145 to 23554369
[2025-10-11 12:16:59.641171] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23554370 to 23554427
[2025-10-11 12:30:06.499872] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23554428 to 23554492
[2025-10-11 13:19:16.774895] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23554493 to 23554736
[2025-10-11 14:28:25.780653] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23554737 to 23555079
[2025-10-11 14:56:21.599156] Token: ETHFI | Whale txs found: 0 | Blocks scanned: 23555080 to 23555218
