[2025-10-05 08:59:17.507091] Error scanning token EIGEN: 'NoneType' object has no attribute 'get'
[2025-10-11 16:52:42.509002] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555749 to 23555791
[2025-10-11 17:02:02.902335] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555792 to 23555837
[2025-10-11 17:13:47.321889] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23555838 to 23555895
[2025-10-11 18:33:26.650929] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23556046 to 23556289
[2025-10-12 04:14:01.092754] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23559099 to 23559177
[2025-10-12 07:01:55.347955] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23559885 to 23560014
[2025-10-12 07:19:02.436906] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23560015 to 23560098
[2025-10-12 08:03:07.626175] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23560099 to 23560315
[2025-10-12 09:56:25.834856] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23560316 to 23560883
[2025-10-12 14:58:47.944394] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23562067 to 23562382
[2025-10-12 15:37:52.284968] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23562383 to 23562578
[2025-10-12 16:31:00.960833] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23562579 to 23562844
[2025-10-12 17:05:25.279227] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23562845 to 23563016
[2025-10-12 17:41:32.966654] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23563017 to 23563194
[2025-10-13 14:58:26.852921] Token: EIGEN | Whale txs found: 42 | Blocks scanned: 23568026 to 23569526
[2025-10-13 16:00:33.962162] Token: EIGEN | Whale txs found: 10 | Blocks scanned: 23569527 to 23569834
[2025-10-13 18:02:32.218388] Token: EIGEN | Whale txs found: 14 | Blocks scanned: 23570018 to 23570411
[2025-10-13 18:08:09.002606] Token: EIGEN | Whale txs found: 14 | Blocks scanned: 23570018 to 23570439
[2025-10-13 18:20:43.993804] Bo qua EIGEN do latest_block=0
