[2025-10-05 08:59:17.970822] Error scanning token ONDO: 'NoneType' object has no attribute 'get'
[2025-10-13 18:13:06.749457] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23570463 to 23570488
[2025-10-13 18:25:37.869792] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23570489 to 23570551
[2025-10-13 19:41:04.368256] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23570552 to 23570928
[2025-10-14 13:44:16.499915] Token: ONDO | Whale txs found: 11 | Blocks scanned: 23575110 to 23576312
[2025-10-14 15:50:08.647610] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23576313 to 23576932
[2025-10-14 16:52:34.721255] Token: ONDO | Whale txs found: 5 | Blocks scanned: 23576933 to 23577241
[2025-10-14 17:39:34.680506] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23577242 to 23577475
[2025-10-15 15:26:44.704517] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23583837 to 23583968
[2025-10-15 15:57:39.698786] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23583969 to 23584120
[2025-10-15 15:59:31.072187] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23584121 to 23584130
[2025-10-15 19:41:09.361433] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23585201 to 23585231
[2025-10-16 11:32:52.636310] Token: ONDO | Whale txs found: 5 | Blocks scanned: 23589100 to 23589939
[2025-10-16 18:06:47.121397] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23589940 to 23591895
[2025-10-17 15:02:36.684390] Token: ONDO | Whale txs found: 5 | Blocks scanned: 23597112 to 23598141
[2025-10-18 10:51:37.063177] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23603200 to 23604050
[2025-10-18 15:29:07.019938] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23604051 to 23605416
[2025-10-18 15:46:53.616205] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23605417 to 23605508
[2025-10-18 17:12:16.001276] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23605509 to 23605936
[2025-10-18 17:46:31.738863] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23605975 to 23606106
[2025-10-18 17:52:44.630734] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23606107 to 23606137
[2025-10-18 18:59:36.272870] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23606138 to 23606470
[2025-10-19 05:36:15.545274] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23609427 to 23609629
[2025-10-19 12:02:04.898223] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23610083 to 23611550
[2025-10-22 17:37:01.691515] Token: ONDO | Whale txs found: 4 | Blocks scanned: 23634403 to 23634588
[2025-10-23 15:39:27.273447] Token: ONDO | Whale txs found: 12 | Blocks scanned: 23638082 to 23641139
[2025-10-23 18:10:29.015824] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23641140 to 23641892
[2025-10-24 17:10:47.717948] Token: ONDO | Whale txs found: 87 | Blocks scanned: 23641893 to 23648722
[2025-10-25 04:40:46.806627] Error scanning token ONDO: HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out. (read timeout=10)
[2025-10-25 06:38:41.100067] Token: ONDO | Whale txs found: 99 | Blocks scanned: 23648723 to 23652734
[2025-10-25 07:07:06.472789] Token: ONDO | Whale txs found: 1 | Blocks scanned: 23652735 to 23652874
[2025-10-25 07:30:33.114076] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23652875 to 23652991
[2025-10-25 09:06:45.182951] Token: ONDO | Whale txs found: 0 | Blocks scanned: 23652992 to 23653466
[2025-10-25 09:52:15.610666] Token: ONDO | Whale txs found: 3 | Blocks scanned: 23653467 to 23653692
