asset,date,AdrActCnt,BlkCnt,DiffMean,FeeTotUSD,HashRate,IssTotUSD,PriceUSD,TxCnt
btc,2009-05-15T00:00:00.000000000Z,147,136,1,,0.00000676059666962963,,,1
btc,2009-05-16T00:00:00.000000000Z,119,119,1,,0.00000591552208592593,,,0
btc,2009-05-17T00:00:00.000000000Z,127,127,1,,0.00000631320424296296,,,0
btc,2009-05-18T00:00:00.000000000Z,118,118,1,,0.0000058658118162963,,,0
btc,2009-05-19T00:00:00.000000000Z,86,86,1,,0.00000427508318814815,,,0
btc,2009-05-20T00:00:00.000000000Z,120,120,1,,0.00000596523235555556,,,0
btc,2009-05-21T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
btc,2009-05-22T00:00:00.000000000Z,61,61,1,,0.00000303232644740741,,,0
btc,2009-05-23T00:00:00.000000000Z,32,32,1,,0.00000159072862814815,,,0
btc,2009-05-24T00:00:00.000000000Z,100,100,1,,0.00000497102696296296,,,0
btc,2009-05-25T00:00:00.000000000Z,109,109,1,,0.00000541841938962963,,,0
btc,2009-05-26T00:00:00.000000000Z,125,125,1,,0.0000062137837037037,,,0
btc,2009-05-27T00:00:00.000000000Z,119,119,1,,0.00000591552208592593,,,0
btc,2009-05-28T00:00:00.000000000Z,95,95,1,,0.00000472247561481481,,,0
btc,2009-05-29T00:00:00.000000000Z,167,106,1,,0.00000526928858074074,,,1
btc,2009-05-30T00:00:00.000000000Z,109,109,1,,0.00000541841938962963,,,0
btc,2009-05-31T00:00:00.000000000Z,96,96,1,,0.00000477218588444444,,,0
btc,2009-06-01T00:00:00.000000000Z,73,71,1,,0.0000035294291437037,,,1
btc,2009-06-02T00:00:00.000000000Z,111,111,1,,0.00000551783992888889,,,0
btc,2009-06-03T00:00:00.000000000Z,71,71,1,,0.0000035294291437037,,,0
btc,2009-06-04T00:00:00.000000000Z,66,66,1,,0.00000328087779555556,,,0
btc,2009-06-05T00:00:00.000000000Z,30,30,1,,0.00000149130808888889,,,0
btc,2009-06-06T00:00:00.000000000Z,28,28,1,,0.00000139188754962963,,,0
btc,2009-06-07T00:00:00.000000000Z,16,16,1,,0.000000795364314074074,,,0
btc,2009-06-08T00:00:00.000000000Z,82,82,1,,0.00000407624210962963,,,0
