Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
46YNeDLC5yMfMHifb2bZAEVoa7z4v9WmHLQ7pgBSZJLoXBWreHVnRCG7tzZZUy9BbmVQUTaVNMU5eySyFJU1Rmz7,1759098979,2025-09-28T22:36:19.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1187000000000,in,248485.83,9,SOL,1.0
5WqTHBmGKmC7UytQPQYsKqPteV4pgqKrVHUD21C5ur5kQCbyG3pexrV6QoBSwAbyhx1Z5ojoafGLsfS8jjwWAF3h,1759098581,2025-09-28T22:29:41.000Z,TRANSFER,FxteHmLwG9nk1eL4pjNve3Eub2goGkkz6g6TbvdmW46a,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1710000000000,in,357698.3,9,SOL,1.0
3xchQJMKB18sqzgkQZwTkHUP22MHFijpmonXCvUc8oWYnjzhtqSnUV1KzdNfxPrHsZ2BXxYfLeu6hYSabwHnLjNJ,1759098404,2025-09-28T22:26:44.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,839000000000,in,175502.27,9,SOL,1.0
51uQgewBGzQVfpM2DC2i5hTMHxhmZphCJgDuZNRSvbnQzuqrG3VrdxZ7SShwe5n5amcfubd1o3hhkCfWoXrkirgS,1759098096,2025-09-28T22:21:36.000Z,TRANSFER,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2672992000000,in,559666.76,9,SOL,1.0
2FTY87LtCic2rZP3fygsESft4Swcj8VMk9EtTTRbUAGzGWRwhX6N991SBhN2LEhKYhPAsFJaYXZxS4PjhxyhahzK,1759097780,2025-09-28T22:16:20.000Z,TRANSFER,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,1163999761000,in,243428.19,9,SOL,1.0
3XbfMFAhh66cEyacTTufXyBhTqxsNNVTKFRs5kYwktCThghS4A7UQMeB6RXZVfCkVHnejDqGqJVcUWD65unH6WTc,1759097615,2025-09-28T22:13:35.000Z,TRANSFER,3bwCjRXv4LASkv7DbLRJi7fDXgRRfEZhEstDVoZsjEHR,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,865000000000,in,180898.13,9,SOL,1.0
TtbRs1J5o2hg1dxtaD3DKKfvVD3E4Rchv6niFvSYrfnHbHZ3ZVAdeKvFgytDikAGtFsCp8TSfxqyZ4bytwYmJFp,1759097526,2025-09-28T22:12:06.000Z,TRANSFER,43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2087997000000,in,436664.46,9,SOL,1.0
3jwcHkDN6wQcmnypaz1PkNaqqBq9SV3H5DdR52xK6SkfKxHzHWzvmetPHY4qJrcxhqsHquoRvEmX9x4H8ekh4TWo,1759097516,2025-09-28T22:11:56.000Z,TRANSFER,2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,703000000000,in,147018.94,9,SOL,1.0
47M5JJq99u8QE9VFcvv6SFuYdBDVRXgzPgFkMRQqnK2E2atcc2PSTKcd9jWfffSxQgteN9dEVxYW24Ey2a8KcCjz,1759096880,2025-09-28T22:01:20.000Z,TRANSFER,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,2520992000000,in,522500.58,9,SOL,1.0
pjsuSPEbMi6NqFauvUdU5FvottfAGdr88Eha8x7j3xPdNrwpzDaTYuhJToQXxebxuDVNwBw9Xu5veAHAgGfy5Wb,1759096134,2025-09-28T21:48:54.000Z,TRANSFER,GCRJD52pGwcCSs4oswYxTBCPatxY1P6WpxCC9R9zty6r,3ADzk5YDP9sgorvPSs9YPxigJiSqhgddpwHwwPwmEFib,6738999900000,in,1392428.87,9,SOL,1.0
